,author_code,ebook_link,ebook_title,other_info,other_info.1,other_info.2,other_info.3,other_info.4,other_info.5,author_Name,author_Surname,clean_birth_year,clean_death_year,century,link_txt
0,a8269,/ebooks/18812,Douze ans de séjour dans la Haute-Éthiopie,,,,,,,Abbadie, Arnauld d',1815,,19,http://www.gutenberg.org/cache/epub/18812/pg18812.txt
1,a5182,/ebooks/18092,Germaine,,,,,,,About, Edmond,1828,1885,19,http://www.gutenberg.org/cache/epub/18092/pg18092.txt
2,a5182,/ebooks/22813,Heath's Modern Language Series: La Mère de la Marquise,,,,,,,About, Edmond,1828,1885,19,http://www.gutenberg.org/cache/epub/22813/pg22813.txt
3,a5182,/ebooks/13704,L'homme à l'oreille cassée,,,,,,,About, Edmond,1828,1885,19,http://www.gutenberg.org/cache/epub/13704/pg13704.txt
4,a5182,/ebooks/51709,Le nez d'un notaire,,,,,,,About, Edmond,1828,1885,19,http://www.gutenberg.org/cache/epub/51709/pg51709.txt
5,a39968,/ebooks/39331,"Histoire des salons de Paris (Tome 1/6)
",<br/>,"Tableaux et portraits du grand monde sous Louis XVI, Le Directoire, le Consulat et l'Empire, la Restauration et le règne de Louis-Philippe Ier",,,,,Abrantès, Laure Junot,,1838,,http://www.gutenberg.org/cache/epub/39331/pg39331.txt
6,a39968,/ebooks/41121,"Histoire des salons de Paris (Tome 2/6)
",<br/>,"Tableaux et portraits du grand monde sous Louis XVI, Le Directoire, le Consulat et l'Empire, la Restauration et le règne de Louis-Philippe Ier",,,,,Abrantès, Laure Junot,,1838,,http://www.gutenberg.org/cache/epub/41121/pg41121.txt
7,a39968,/ebooks/42663,"Histoire des salons de Paris (Tome 3/6)
",<br/>,"Tableaux et portraits du grand monde sous Louis XVI, Le Directoire, le Consulat et l'Empire, la Restauration et le règne de Louis-Philippe Ier",,,,,Abrantès, Laure Junot,,1838,,http://www.gutenberg.org/cache/epub/42663/pg42663.txt
8,a39968,/ebooks/44054,"Histoire des salons de Paris (Tome 4/6)
",<br/>,"Tableaux et portraits du grand monde sous Louis XVI, Le Directoire, le Consulat et l'Empire, la Restauration et le règne de Louis-Philippe Ier.",,,,,Abrantès, Laure Junot,,1838,,http://www.gutenberg.org/cache/epub/44054/pg44054.txt
9,a39968,/ebooks/44664,"Histoire des salons de Paris (Tome 5/6)
",<br/>,"Tableaux et portraits du grand monde sous Louis XVI, Le Directoire, le Consulat et l'Empire, la Restauration et le règne de Louis-Philippe Ier",,,,,Abrantès, Laure Junot,,1838,,http://www.gutenberg.org/cache/epub/44664/pg44664.txt
10,a39968,/ebooks/44676,"Histoire des salons de Paris (Tome 6/6)
",<br/>,"Tableaux et portraits du grand monde sous Louis XVI, Le Directoire, le Consulat et l'Empire, la Restauration et le règne de Louis-Philippe Ier",,,,,Abrantès, Laure Junot,,1838,,http://www.gutenberg.org/cache/epub/44676/pg44676.txt
11,a3678,/ebooks/17808,Belle-Rose,,,,,,,Achard, Amédée,1814,1875,19,http://www.gutenberg.org/cache/epub/17808/pg17808.txt
12,a3678,/ebooks/16901,Madame Rose; Pierre de Villerglé,,,,,,,Achard, Amédée,1814,1875,19,http://www.gutenberg.org/cache/epub/16901/pg16901.txt
13,a3678,/ebooks/10774,Récits d'un soldat: Une armée prisonnière; Une campagne devant Paris,,,,,,,Achard, Amédée,1814,1875,19,http://www.gutenberg.org/cache/epub/10774/pg10774.txt
14,a40268,/ebooks/58290,Derniers souvenirs d'un musicien,,,,,,,Adam, Adolphe,1803,1856,19,http://www.gutenberg.org/cache/epub/58290/pg58290.txt
15,a40268,/ebooks/60806,Souvenirs d'un musicien,<br/>,précédés de notes biographiques écrites par lui même,,,,,Adam, Adolphe,1803,1856,19,http://www.gutenberg.org/cache/epub/60806/pg60806.txt
16,a6384,/ebooks/33378,Au soleil de juillet (1829-1830),<br/>,Le temps et la vie,,,,,Adam, Paul,1862,1920,19,http://www.gutenberg.org/cache/epub/33378/pg33378.txt
17,a6384,/ebooks/15943,Le conte futur,,,,,,,Adam, Paul,1862,1920,19,http://www.gutenberg.org/cache/epub/15943/pg15943.txt
18,a6384,/ebooks/27566,"La Force
",<br/>,Le Temps et la Vie,,,,,Adam, Paul,1862,1920,19,http://www.gutenberg.org/cache/epub/27566/pg27566.txt
19,a6384,/ebooks/61418,La glèbe,,,,,,,Adam, Paul,1862,1920,19,http://www.gutenberg.org/cache/epub/61418/pg61418.txt
20,a25755,/ebooks/23211,Curiosités judiciaires et historiques du moyen âge. Procès contre les animaux,,,,,,,Agnel, Émile,1810,1882,19,http://www.gutenberg.org/cache/epub/23211/pg23211.txt
